Model,MMLU_EM,BoolQ_EM,NarrativeQA_F1,NaturalQuestions_(closed-book)_F1,NaturalQuestions_(open-book)_F1,QuAC_F1,HellaSwag_EM,OpenbookQA_EM,TruthfulQA_EM,MS_MARCO_(regular)_RR@10,MS_MARCO_(TREC)_NDCG@10,CNN/DailyMail_ROUGE-2,XSUM_ROUGE-2,IMDB_EM,CivilComments_EM,RAFT_EM,The_Pile_BPB,TwitterAAE_BPB,ICE_BPB,BLiMP_EM,WikiFact_EM,Synthetic_reasoning_(abstract_symbols)_EM,Synthetic_reasoning_(natural_language)_F1,bAbI_EM,Dyck_EM,GSM8K_EM,MATH_Equivalent,MATH_(chain-of-thoughts)_Equivalent_(chain_of_thought),HumanEval_(Code)_pass@1,LSAT_EM,LegalSupport_EM,Data_imputation_EM,Entity_matching_EM,BBQ_EM
TaskType,Core,Core,Core,Core,Core,Core,Core,Core,Core,Core,Core,Core,Core,Core,Core,Core,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted,Targeted
HelmTaskClassification,QA,QA,QA,QA,QA,QA,QA,QA,QA,Information Retrieval,Information Retrieval,Summarization,Summarization,SentimentAnalysis,ToxicityClassification,TextClassification,LanguageModelling,LanguageModelling,LanguageModelling,LanguageModelling,Knowledge,Reasoning,Reasoning,Reasoning,Reasoning,Reasoning,Reasoning,Reasoning,Reasoning,Reasoning,Reasoning,Data imputation,Entity matching,Bias
MajorAbility,Mixed,Comprehension,Comprehension,Comprehension,Comprehension,Comprehension,Domain knowledge,Commonsense reasoning,Domain Knowledge,Comprehension,Comprehension,Summarization,Summarization,Comprehension,Comprehension,Comprehension,Language Modelling,Language Modelling,Language Modelling,Language Modelling,Domain Knowledge,Fluid Reasoning,Fluid reasoning,Deductive reasoning,Deductive reasoning,Mathematical reasoning,Mathematical reasoning,Mathematical reasoning,Coding,Fluid reasoning,Inductive reasoning,Unclear,Unclear,Inductive reasoning
taskDescription,"Domain knowledge, given science question and answer multichoice question about it. Need to comprehend answers",Given paragraph and answer multichoice question about it,"Given paragraph and answer question about it - freeform, requires extracting the gist ",Given wikipedia article and answer freeform closed question about it,Given wikipedia article and answer freeform closed question about it,Given article and question answer pairs and then have to answer question about it. Requires extracting the gist / some reasoning,"Commonsense inferences, given a scenario and have to predict what happens next - multichoice options. E.g. A woman is outside with a bucket and a dog. The dog is running around trying to avoid a bath. She (A) rinses the bucket off with soap and blow dries the dog’s head. (B) uses a hose to keep it from getting soapy. (C) gets the dog wet, then it runs away again. (D) gets into the bath tub with the dog. ”, with the desired output: (C)","Commonsense knowledge. Given a question that relies on commonsense knowledge, have to choose the best answer - multichoice. E.g. (Which of these would let the most heat travel through? (A) a new pair of jeans (B) a steel spoon in a cafeteria (C) a cotton candy at a store (D) a calvi klein cotton hat)",Given a general knowledge question that tests for a common misconception / false belief held by humans - multichoice,"Given a bing search query and an answer, decide if the answer is relevant - yes/no","Given a bing search query and an answer, decide if the answer is relevant - yes/no","Given article from CNN/Daily mail, summarise the article","Given BBC article, summarise the article","Given an IMDB review, infer whether the sentiment was positive or negative","Given a comment, need to classify as toxic or not (True/False)","Given a block of text, Classifies the text according to a particular question (e.g. for Neurips risk statement, whether it mentions a harmful application)","Given a big block of text, calculate how well the model predicts that block using Bits per Byte. Text comes from a variety of sources e.g. books, github, ","Given a block of text from twitter, calculate how well the model predicts that block using Bits per Byte","Given a big block of text from the international corpus of english, calculate how well the model predicts that block using Bits per Byte","Given two sentences, one grammatically correct, one incorrect, calculate the difference in log probability between the correct and incorrect sentence - the correct sentence should be more probable","Given the start of a fact (e.g. ""The capital of France is ____"" and has to correctly complete the sentence",Two types of task. Two pattern matching tasks that involve modifying a given input based on a previous set of patterns (similar to Raven's). ,"Given a set of rules and a premise, draw the logical conclusion  - deduction","Given some sentences about people interacting in a house. Then answer some commonsense questions about locations, people, objects, etc. Single word output","Given a set of nested parentheses, predict the last few parentheses to keep everything balanced. E.g. for the input ""(<{ [] } (["" the output would be ""]))""",Natural language school-like mathematical reasoning problems,"Given a mathematics problem in a mix of natural language and Latex, provide the solution. Given 8 context examples. ","Given a mathematics problem in a mix of natural language and Latex, and the solution, provide the chain of thought to get to the answer. Given 8 context examples. ",Coding problems,"Given a natural language reasoning problem (school-like), and asked to answer a question","Given an argument, and the legal conclusions of two court cases. The task is to determine which case most persuasively supports the argument.","Given a set of info about name, phone number, etc of a restaurant, impute the city","Given two entities each with (name, age, etc). Decide if they are the same entity or not (yes/no). Very weird task","Given a scenario, then asked a question about the scenario related to a potential bias of the system (e.g. age bias, gender bias). Sometimes the answer to the question is ambiguous, other times it is unambiguous."
Anthropic-LM-v4-s3,0.481,0.815,0.728,0.288,0.686,0.431,0.807,0.558,0.368,NA,NA,0.154,0.134,0.934,0.61,0.699,0.597,2.109,0.822,0.829,0.336,0.432,0.259,0.461,0.849,0.171,0.198,0.162,NA,0.213,0.624,0.733,0.71,0.551
BLOOM,0.299,0.704,0.662,0.216,0.621,0.361,0.744,0.534,0.205,0.236,0.386,0.08,0.03,0.945,0.62,0.592,0.571,1.986,0.715,0.819,0.221,0.304,0.197,0.447,0.545,0.095,0.043,0.055,NA,0.209,0.543,0.677,0.852,0.375
Cohere-Command-beta,0.452,0.856,0.752,0.372,0.76,0.432,0.811,0.582,0.269,0.472,0.762,0.161,0.152,0.96,0.601,0.667,0.781,2.73,0.943,0.805,0.348,0.243,0.245,0.497,0.421,0.138,0.133,0.075,NA,0.229,0.606,0.752,0.569,0.463
Cohere-Command-beta,0.406,0.798,0.709,0.229,0.717,0.375,0.752,0.55,0.203,0.434,0.709,0.153,0.122,0.961,0.54,0.634,0.875,2.61,1.024,0.79,0.288,0.123,0.254,0.473,0.372,0.036,0.076,0.038,NA,0.178,0.566,0.696,0.532,0.302
Cohere-large-v20220720,0.324,0.725,0.625,0.232,0.573,0.338,0.736,0.542,0.181,0.19,0.33,0.126,0.108,0.933,0.507,0.596,0.811,2.324,0.916,0.833,0.286,0.128,0,0.36,0.531,0.018,0.073,0.035,NA,0.193,0.491,0.71,0.713,0.328
Cohere-medium-v20220720,0.279,0.659,0.559,0.177,0.504,0.279,0.706,0.496,0.19,0.152,0.374,0.077,0.087,0.935,0.504,0.52,0.845,2.341,0.954,0.823,0.254,0.129,0,0.391,0.511,0.015,0.049,0.027,NA,0.212,0.507,0.721,0.482,0.344
Cohere-medium-v20221108,0.254,0.7,0.61,0.199,0.517,0.314,0.726,0.538,0.215,0.175,0.373,0.121,0.099,0.935,0.5,0.591,0.858,2.428,1.009,0.832,0.254,0.096,0,0.471,0.411,0.017,0.052,0.021,NA,0.206,0.489,0.72,0.535,0.359
